Name,MIME Type,File Extension,Details,FileType
FutureSplash Animator,application/x-futuresplash,.spl,Wikipedia: FutureSplash Animator,unknown
Gnumeric,application/x-gnumeric,.gnumeric,Wikipedia: Gnumeric,unknown
GNU Tar Files,application/x-gtar,.gtar,GNU Tar,unknown
Hierarchical Data Format,application/x-hdf,.hdf,Wikipedia: Hierarchical Data Format,unknown
Java Network Launching Protocol,application/x-java-jnlp-file,.jnlp,Wikipedia: Java Web Start,unknown
LaTeX,application/x-latex,.latex,Wikipedia: LaTeX,unknown
Mobipocket,application/x-mobipocket-ebook,.prc,Wikipedia: Mobipocket,unknown
Microsoft ClickOnce,application/x-ms-application,.application,Wikipedia: ClickOnce,unknown
Microsoft Windows Media Player Download Package,application/x-ms-wmd,.wmd,Wikipedia: Windows Media Player,unknown
Microsoft Windows Media Player Skin Package,application/x-ms-wmz,.wmz,Wikipedia: Windows Media Player,unknown
Microsoft XAML Browser Application,application/x-ms-xbap,.xbap,Wikipedia: XAML Browser,unknown
Microsoft Access,application/x-msaccess,.mdb,Wikipedia: Microsoft Access,unknown
Microsoft Office Binder,application/x-msbinder,.obd,Wikipedia: Microsoft Shared Tools,unknown
Microsoft Information Card,application/x-mscardfile,.crd,Wikipedia: Information Card,unknown
Microsoft Clipboard Clip,application/x-msclip,.clp,Wikipedia: Clipboard,unknown
